Dan,Datum,Pocetak,Kraj,Ucionica
MONDAY,10/30/2023,09:15,11:15,RAF1
MONDAY,10/30/2023,09:30,12:30,RAF2
MONDAY,10/30/2023,10:00,13:00,RAF3
MONDAY,10/30/2023,10:45,13:45,RAF4
MONDAY,10/30/2023,11:15,13:15,RAF5
MONDAY,10/30/2023,11:30,13:30,RAF6
MONDAY,10/30/2023,12:00,15:00,RAF7
MONDAY,10/30/2023,12:15,15:15,RAF1
MONDAY,10/30/2023,12:30,15:30,RAF2
MONDAY,10/30/2023,13:00,15:00,RAF3
MONDAY,10/30/2023,13:45,16:45,RAF4
MONDAY,10/30/2023,14:15,17:15,RAF5
MONDAY,10/30/2023,14:30,16:30,RAF6
MONDAY,10/30/2023,15:00,18:00,RAF7
MONDAY,10/30/2023,15:15,17:15,RAF1
MONDAY,10/30/2023,15:30,17:30,RAF2
MONDAY,10/30/2023,16:00,19:00,RAF3
MONDAY,10/30/2023,16:45,19:45,RAF4
MONDAY,10/30/2023,17:30,19:30,RAF6
MONDAY,10/30/2023,18:00,20:00,RAF7
TUESDAY,10/31/2023,12:30,15:30,RAF2
TUESDAY,10/31/2023,13:45,16:45,RAF4
TUESDAY,10/31/2023,18:00,20:00,RAF7
TUESDAY,10/31/2023,10:00,13:00,RAF3
TUESDAY,10/31/2023,09:15,11:15,RAF1
TUESDAY,10/31/2023,11:15,13:15,RAF5
TUESDAY,10/31/2023,15:00,18:00,RAF7
TUESDAY,10/31/2023,14:30,16:30,RAF6
TUESDAY,10/31/2023,15:15,17:15,RAF1
TUESDAY,10/31/2023,15:30,17:30,RAF2
